"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-03","13.20"," 0325"," 0303","0.00","0.0","0.0","62","73","51",,"  330","  330","30.0","34.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-04","12.30"," 1434"," 1407","0.00","0.0","0.0","67","81","52",,"  340","  360","23.0","28.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-05","14.76"," 2129"," 2048","0.00","0.0","0.0","72","92","51",,"  340","  330","40.9","48.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-06","10.74"," 0004"," 0007","0.10","0.0","0.0","58","68","47",,"  340","  330","25.9","31.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-07","14.76"," 1745"," 1742","0.32","0.0","0.0","51","58","43",,"  330","  340","36.9","45.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-08","8.28"," 0811"," 0805","0.00","0.0","0.0","48","59","36",,"  330","  340","19.9","23.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-09","11.86"," 1056"," 1248","0.00","0.0","0.0","53","68","37",,"  170","  200","25.1","31.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-10","10.07"," 2104"," 2057","0.35","0.0","0.0","55","68","42",,"  340","  330","30.0","36.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-11","12.75"," 1521"," 1522","0.08","0.0","0.0","51","63","39",,"  340","  340","36.9","42.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-12","17.67"," 1454"," 1346","0.00","0.0","0.0","40","49","31",,"  330","  330","34.9","42.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-13","6.49"," 1438"," 1437","0.00","0.0","0.0","43","58","27",,"  350","  360","17.0","19.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-14","8.72"," 1823"," 1748","0.00","0.0","0.0","51","63","39",,"  130","  120","17.0","21.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-15","8.72"," 1657"," 1523","0.00","0.0","0.0","59","74","44",,"  360","  360","17.0","21.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-16","9.84"," 2235"," 2237","0.00","0.0","0.0","59","71","47",,"  110","  110","42.9","47.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-17","16.78"," 1618"," 1322","0.82","0.0","0.0","50","57","42",,"  350","   30","25.9","32.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-18","10.51"," 0630"," 0903","0.00","0.0","0.0","46","58","34",,"  340","  340","19.9","25.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-19","7.61"," 2142"," 2139","0.00","0.0","0.0","55","73","36",,"  330","  340","30.0","36.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-20","11.41"," 1249"," 1248","0.00","0.0","0.0","57","68","46",,"  330","  320","25.9","31.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-21","7.16"," 1223"," 1207","0.00","0.0","0.0","59","75","43",,"  350","  350","21.0","23.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-22","10.51"," 1052"," 1047","0.00","0.0","0.0","65","78","51",,"  330","  330","33.1","38.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-23","12.97"," 1251"," 1251","0.00","0.0","0.0","66","76","55",,"  340","  350","28.0","31.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-24","8.72"," 0758"," 0743","0.00","0.0","0.0","54","62","45",,"  350","  340","17.9","21.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-25","9.17"," 0901"," 1121","0.00","0.0","0.0","60","75","45",,"  180","  150","21.0","23.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-26","9.17"," 1436"," 1435","0.57","0.0","0.0","56","69","43",,"  330","  330","29.1","33.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-27","6.26"," 1334"," 1334","0.00","0.0","0.0","58","74","41",,"  360","  360","19.9","23.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-28","10.96"," 1356"," 1255","0.00","0.0","0.0","64","78","49",,"  360","  350","21.9","28.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-29","11.41"," 2139"," 2132","0.00","0.0","0.0","62","76","48",,"  340","  340","25.9","31.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-30","8.95"," 0609"," 0608","0.04","0.0","0.0","55","61","48",,"  350","  350","17.0","21.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-31","10.07"," 2247"," 2246","0.12","0.0","0.0","66","54","48",,"  330","  320","36.0","45.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-06-01","15.66"," 2357"," 2356","0.00","0.0","0.0","51","65","37",,"  330","  330","31.1","36.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-06-02","9.40"," 1147"," 1146","0.00","0.0","0.0","54","73","34",,"  170","  160","21.9","25.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-06-03","13.20"," 1938"," 1937","0.00","0.0","0.0","63","75","50",,"   30","   30","30.0","38.9"
